SigmaY1,SigmaY2,Group
0.0152161880055844,0.0406563227507494,H
0.00800490942250226,0.0300588499796389,H
0.00928482851544296,0.0499999901234931,H
0.00799442651679746,0.025728260951975,H
0.00735080655097047,0.00788191116850117,H
0.00862261218657449,0.00902619991517714,VH
0.00190311258387181,0.00171452888408081,VH
0.00294747218378213,0.00330477998014463,VH
0.00481285425589554,0.00468790280903459,VH
0.00703944457725318,0.0121594574426081,VH
0.00111635119179533,0.00175247507827325,PV
0.000924313055879206,0.00158421260164113,PV
0.00105277143978301,0.00387857993458605,PV
0.00113866005848434,0.00265877902597015,PV
0.00232422218600488,0.00334701110859978,PV
