Sigma_Y,LI11,LI12,LI21,LI22
0.001,-0.0156515370680959,0.0372713264220597,0.0153683429530031,-0.0292145165776523
0.00127427498570313,-0.000496236152949264,0.0860538025862702,0.0108418354634118,-0.0729694085456022
0.00162377673918872,-0.0751921806203642,0.051297140810235,0.0566566324852859,-0.0714272797520352
0.00206913808111479,-0.0678888549949865,0.04969078785951,0.0215183818397769,-0.0495917527637987
0.00263665089873036,-0.0612124772064721,0.15996890034071,0.0172129295144011,-0.185760202455793
0.00335981828628378,-0.0649916366516574,0.159315272089937,0.0245735376892906,-0.219896450615302
0.0042813323987194,-0.0851330764713088,0.210323594297576,0.00852441285790631,-0.233640135322613
0.00545559478116852,-0.123460942173524,0.137263706939346,0.0200249106520435,-0.207585838177864
0.00695192796177561,-0.139518905326033,0.170545941814295,-0.00277195884110672,-0.176197370144712
0.00885866790410082,-0.171378772702503,0.301149226474608,0.000892752314018397,-0.236186350364641
0.0112883789168469,-0.164002187843,0.231828449109526,0.00327680954915176,-0.193506709572917
0.0143844988828766,-0.143009344432707,0.282280162871545,-0.0275663464546075,-0.266917644316364
0.0183298071083244,-0.131586866742481,0.311728313061275,-0.0554188426286087,-0.239814263368158
0.0233572146909012,-0.185218286509064,0.256933150429554,-0.0731189824405277,-0.164875400213783
0.0297635144163132,-0.193730752910546,0.250962559553835,-0.0771987621365678,-0.220908755997363
0.0379269019073225,-0.199920041097991,0.299082038777121,-0.103580240588707,-0.178141349315738
0.0483293023857175,-0.2346157702504,0.26175955039861,-0.130279920570666,-0.0826081082960134
0.0615848211066026,-0.164884818884897,0.319577290991222,-0.126597993295387,-0.135496140170048
0.0784759970351461,-0.209319525043573,0.226383123348465,-0.129149578211826,-0.12404021581329
0.1,-0.246557914789471,0.285586395121375,-0.11678629404956,-0.0691583148590953
